ds,yhat
2021-07-30 19:54:06,30.67370753404339
2021-07-30 19:54:11,30.673666446534078
2021-07-30 19:54:16,30.673625359024765
2021-07-30 19:54:21,30.673584271515452
2021-07-30 19:54:26,30.67354318400613
2021-07-30 19:54:31,30.67350209649682
2021-07-30 19:54:36,30.673461008987505
2021-07-30 19:54:41,30.67341992147819
2021-07-30 19:54:46,30.673378833968876
2021-07-30 19:54:51,30.67333774645956
2021-07-30 19:54:56,30.673296658950242
2021-07-30 19:55:01,30.67325557144093
2021-07-30 19:55:06,30.673214483931616
2021-07-30 19:55:11,30.6731733964223
2021-07-30 19:55:16,30.673132308912983
